id,name,guests,bedrooms,beds,bathrooms,description,price,washing_machine,television,air_conditioner,wifi,stove,parking,swimming_pool,electric_iron,location_id,photo
3,NewApt D1 - Cozy studio - NU apt - 500m Bui Vien!,3,1,1,1,"Tự nhận phòng. Tự nhận phòng bằng khóa thông minh. Dinh Long là Chủ nhà siêu cấp. Chủ nhà siêu cấp là những chủ nhà có kinh nghiệm, được đánh giá cao và là những người cam kết mang lại quãng thời gian ở tuyệt vời cho khách.",28,true,true,false,true,false,true,true,true,1,https://airbnbnew.cybersoft.edu.vn/images/phong1.jpg
4,STUDIO MỚI NETFLIX MIỄN PHÍ/ĐỖ XE MIỄN PHÍ,2,1,1,1,"Không gian riêng để làm việc. Một khu vực chung có Wi-fi, phù hợp để làm việc. Tự nhận phòng. Tự nhận phòng bằng khóa thông minh. Kim Nam là Chủ nhà siêu cấp. Chủ nhà siêu cấp là những chủ nhà có kinh nghiệm, được đánh giá cao và là những người cam kết mang lại quãng thời gian ở tuyệt vời cho khách.",21,true,true,true,true,true,false,false,false,1,https://airbnbnew.cybersoft.edu.vn/images/phong2.png
5,Phòng sang trọng với ban công tại D.1 - 200m đến Bitexco,2,1,1,1,"Emmy là Chủ nhà siêu cấpChủ nhà siêu cấp là những chủ nhà có kinh nghiệm, được đánh giá cao và là những người cam kết mang lại quãng thời gian ở tuyệt vời cho khách.Trải nghiệm nhận phòng tuyệt vời100% khách gần đây đã xếp hạng 5 sao cho quy trình nhận phòng.Hủy miễn phí trước 28 thg 9.",17,true,true,false,false,false,true,true,true,1,https://airbnbnew.cybersoft.edu.vn/images/phong3.png
6,Closer home!!!!,4,2,2,2,"Hieu là Chủ nhà siêu cấpChủ nhà siêu cấp là những chủ nhà có kinh nghiệm, được đánh giá cao và là những người cam kết mang lại quãng thời gian ở tuyệt vời cho khách.Địa điểm tuyệt vời100% khách gần đây đã xếp hạng 5 sao cho vị trí này.Trải nghiệm nhận phòng tuyệt vời100% khách gần đây đã xếp hạng 5 sao cho quy trình nhận phòng.",28,true,true,true,true,false,false,false,false,2,https://airbnbnew.cybersoft.edu.vn/images/phong4.png
7,Toàn bộ quê hương phải của Gi ngay trung tâm Cần Thơ,4,2,2,2,"Giang là Chủ nhà siêu cấpChủ nhà siêu cấp là những chủ nhà có kinh nghiệm, được đánh giá cao và là những người cam kết mang lại quãng thời gian ở tuyệt vời cho khách.Địa điểm tuyệt vời94% khách gần đây đã xếp hạng 5 sao cho vị trí này.Trải nghiệm nhận phòng tuyệt vời94% khách gần đây đã xếp hạng 5 sao cho quy trình nhận phòng.",25,true,true,true,false,false,true,false,true,2,https://airbnbnew.cybersoft.edu.vn/images/phong5.png
8,"Ngôi nhà có hoa, nắng đẹp, trung tâm Cần Thơ",4,1,2,2,"Tự nhận phòngTự nhận phòng với hộp khóa an toàn.Dang là Chủ nhà siêu cấpChủ nhà siêu cấp là những chủ nhà có kinh nghiệm, được đánh giá cao và là những người cam kết mang lại quãng thời gian ở tuyệt vời cho khách.",21,true,true,true,true,true,false,false,false,2,https://airbnbnew.cybersoft.edu.vn/images/phong6.png
9,Near Hon Chong-Quiet Seaview Studio to beach,2,1,1,1,"là nơi ẩn náu mới đưa khách tham quan một hành trình kỳ thú vào bãi biển Nha Trang. Chỉ 2 phút đi bộ ra bãi biển!Câu chuyện về Trăng tròn được diễn giải lại một cách nghệ thuật theo lối trang trí sang trọng, cổ điển của ngôi nhà – một phiên bản đương đại của thần thoại truyền thống được kể bằng đồ nội thất kết hợp các chi tiết phong cách với các yếu tố Việt cổ. Chúng tôi kết hợp dịch vụ lưu trú truyền thống của châu Á với các tiện ích hiểu biết về công nghệ,",10,true,true,false,false,false,true,true,true,3,https://airbnbnew.cybersoft.edu.vn/images/phong7.png
10,Tầng 25 Căn hộ 1 phòng ngủ ấm cúng và hiện đại,4,1,2,1,Phòng ngủ ấm cúng và Morden 1 ở tầng 25. Cảm giác như ở nhà khi qua đêm ở đây! Mọi chi tiết trong căn hộ đều đi kèm với tinh thần nghệ thuật.Chỗ ởToàn bộ căn hộ sẽ là của bạn! Sử dụng miễn phí tiện nghi và đồ dùng nhà bếp của chúng tôi,15,false,true,true,true,true,true,true,true,3,https://airbnbnew.cybersoft.edu.vn/images/phong8.png
11,Căn hộ mặt tiền Economy Beach với chế độ ngắm bình minh,4,1,2,1,"Căn hộ của tôi là căn hộ mặt tiền bãi biển, hướng ra bãi biển. Bạn có thể tận hưởng bình minh từ cửa sổ.Căn hộ có thể cho thuê tối đa 4 người với 2 giường đôi. Tọa lạc tại trung tâm thành phố với nhiều nhà hàng và siêu thị xung quanh.",18,true,true,false,true,true,false,false,true,3,https://airbnbnew.cybersoft.edu.vn/images/phong9.png
12,Hanoi Old Quarter Homestay - Unique Railway View,2,1,1,1,"Welcome to our house - a newly renovated apartment & just a step to Old Quarter, Dong Xuan Market, Hoan Kiem Lake. You will get a chance to truly live a Hanoian life with local neighbor, local food & an one-of-a-kind experience of living right beside an unique Hanoi old French style Railway.",23,true,true,true,true,true,true,false,true,4,https://airbnbnew.cybersoft.edu.vn/images/phong10.png
